gene_name,ensg_id,enst_id,uniprot_id,protein_name,hek_rna_tpm,hek_protein_conc_nm,hek_protein_copy_number
COX7B,ENSG00000131174,ENST00000481445,P24311,"Cytochrome c oxidase subunit 7B, mitochondrial ",229.5396333,,
COX7B2,ENSG00000170516,ENST00000355591,Q8TF08,"Cytochrome c oxidase subunit 7B2, mitochondrial ",0.038306333,,
COX7C,ENSG00000127184,ENST00000247655,P15954,"Cytochrome c oxidase subunit 7C, mitochondrial ",999.2983737,264.0964297,158986.05067939998
COX8A,ENSG00000176340,ENST00000314133,P10176,"Cytochrome c oxidase subunit 8A, mitochondrial ",746.6796667,58.25855975,35071.6529695
COX8C,ENSG00000187581,ENST00000342144,Q7Z4L0,"Cytochrome c oxidase subunit 8C, mitochondrial ",0.1285846,,
CP,ENSG00000047457,ENST00000264613,P00450,Ceruloplasmin ,0.0246164,,
CPA1,ENSG00000091704,ENST00000011292,P15085,Carboxypeptidase A1 ,0.034321,,
CPA2,ENSG00000158516,ENST00000222481,P48052,Carboxypeptidase A2 ,0.036393467,,
CPA3,ENSG00000163751,ENST00000296046,P15088,Mast cell carboxypeptidase A ,0.0940903,,
CPA4,ENSG00000128510,ENST00000445470,Q9UI42,Carboxypeptidase A4 ,0.157509267,,
CPA5,ENSG00000158525,ENST00000393213,Q8WXQ8,Carboxypeptidase A5 ,0.096925133,,
CPA6,ENSG00000165078,ENST00000297770,Q8N4T0,Carboxypeptidase A6 ,0.0,,
CPAMD8,ENSG00000160111,ENST00000443236,Q8IZJ3,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8,1.2471289,,
CPB1,ENSG00000153002,ENST00000282957,P15086,Carboxypeptidase B ,0.004176967,,
CPB2,ENSG00000080618,ENST00000181383,Q96IY4,Carboxypeptidase B2 ,0.010117333,,
CPD,ENSG00000108582,ENST00000225719,O75976,Carboxypeptidase D ,27.372209,124.6260565,75024.886013
CPE,ENSG00000109472,ENST00000402744,P16870,Carboxypeptidase E ,39.78797067,10.93793024,6584.63400448
CPEB1,ENSG00000214575,ENST00000615198,Q9BZB8,Cytoplasmic polyadenylation element-binding protein 1 ,5.1062984,5.761559735,3468.45896047
CPEB2,ENSG00000137449,ENST00000538197,Q7Z5Q1,Cytoplasmic polyadenylation element-binding protein 2 ,3.369576217,3.309555512,1992.352418224
CPEB3,ENSG00000107864,ENST00000614585,Q8NE35,Cytoplasmic polyadenylation element-binding protein 3 ,1.422703,3.269727939,1968.376219278
CPEB4,ENSG00000113742,ENST00000334035,Q17RY0,Cytoplasmic polyadenylation element-binding protein 4 ,8.951061667,14.81292991,8917.38380582
CPED1,ENSG00000106034,ENST00000310396,A4D0V7,Cadherin-like and PC-esterase domain-containing protein 1,0.2642991,,
CPLANE1,ENSG00000197603,ENST00000425232,Q9H799,Ciliogenesis and planar polarity effector 1 ,7.600287505,1.324991961,797.6451605220001
CPLANE2,ENSG00000132881,ENST00000375599,Q9BU20,Ciliogenesis and planar polarity effector 2 ,9.039403333,,
CPLX1,ENSG00000168993,ENST00000304062,O14810,Complexin-1 ,7.217903333,41.51231646,24990.41450892
CPLX2,ENSG00000145920,ENST00000359546,Q6PUV4,Complexin-2 ,0.054419593,,
CPLX3,ENSG00000213578,ENST00000395018,Q8WVH0,Complexin-3 ,0.015025467,,
CPLX4,ENSG00000166569,ENST00000299721,Q7Z7G2,Complexin-4 ,0.065569,,
CPM,ENSG00000135678,ENST00000551568,P14384,Carboxypeptidase M ,4.040138053,5.248930148,3159.855949096
CPN1,ENSG00000120054,ENST00000370418,P15169,Carboxypeptidase N catalytic chain ,0.008407667,,
CPN2,ENSG00000178772,ENST00000323830,P22792,Carboxypeptidase N subunit 2 ,0.060207267,,
CPNE1,ENSG00000214078,ENST00000397443,Q99829,Copine-1 ,140.5126491,540.7213606,325514.2590812
CPNE2,ENSG00000140848,ENST00000290776,Q96FN4,Copine-2 ,13.80190017,47.56176878,28632.184805560002
CPNE3,ENSG00000085719,ENST00000517490,O75131,Copine-3 ,67.1031965,1197.201761,720715.4601220001
CPNE4,ENSG00000196353,ENST00000429747,Q96A23,Copine-4 ,0.031822533,,
CPNE5,ENSG00000124772,ENST00000244751,Q9HCH3,Copine-5 ,0.1832587,,
CPNE6,ENSG00000100884,ENST00000397016,O95741,Copine-6 ,0.0,,
CPNE7,ENSG00000178773,ENST00000268720,Q9UBL6,Copine-7 ,2.360975,,
CPNE8,ENSG00000139117,ENST00000331366,Q86YQ8,Copine-8 ,11.28240693,192.4710106,115867.5483812
CPNE9,ENSG00000144550,ENST00000383832,Q8IYJ1,Copine-9 ,0.220860867,,
CPO,ENSG00000144410,ENST00000272852,Q8IVL8,Carboxypeptidase O ,0.097756633,,
CPOX,ENSG00000080819,ENST00000264193,P36551,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial ",79.33802333,615.5813012,370579.9433224
CPPED1,ENSG00000103381,ENST00000433677,Q9BRF8,Serine/threonine-protein phosphatase CPPED1 ,2.987259667,71.18908014,42855.826244280004
CPQ,ENSG00000104324,ENST00000220763,Q9Y646,Carboxypeptidase Q ,1.536674733,,
CPS1,ENSG00000021826,ENST00000430249,P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial ",15.0460312,46.0840503,27742.5982806
CPSF1,ENSG00000071894,ENST00000616140,Q10570,Cleavage and polyadenylation specificity factor subunit 1 ,102.1838715,179.2944181,107935.2396962
CPSF2,ENSG00000165934,ENST00000298875,Q9P2I0,Cleavage and polyadenylation specificity factor subunit 2 ,64.46148,333.3917732,200701.84746639998
CPSF3,ENSG00000119203,ENST00000238112,Q9UKF6,Cleavage and polyadenylation specificity factor subunit 3 ,72.55271567,438.7551498,264130.6001796
CPSF4,ENSG00000160917,ENST00000436336,O95639,Cleavage and polyadenylation specificity factor subunit 4 ,57.48120533,238.2741857,143441.0597914
CPSF4L,ENSG00000187959,ENST00000344935,A6NMK7,Putative cleavage and polyadenylation specificity factor subunit 4-like protein,0.0315878,,
CPSF6,ENSG00000111605,ENST00000266679,Q16630,Cleavage and polyadenylation specificity factor subunit 6 ,103.8674797,1613.914578,971576.5759559999
CPSF7,ENSG00000149532,ENST00000439958,Q8N684,Cleavage and polyadenylation specificity factor subunit 7 ,87.76538509,927.1244625,558128.9264250001
CPT1A,ENSG00000110090,ENST00000265641,P50416,"Carnitine O-palmitoyltransferase 1, liver isoform ",12.56775718,50.62736565,30477.674121300002
CPT1B,ENSG00000205560,ENST00000395650,Q92523,"Carnitine O-palmitoyltransferase 1, muscle isoform ",21.52577934,,
CPT1C,ENSG00000169169,ENST00000323446,Q8TCG5,"Carnitine O-palmitoyltransferase 1, brain isoform ",19.53764943,,
CPT2,ENSG00000157184,ENST00000371486,P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial ",20.54982491,250.9923454,151097.3919308
CPTP,ENSG00000224051,ENST00000343938,Q5TA50,Ceramide-1-phosphate transfer protein ,14.48714333,43.33879882,26089.95688964
CPVL,ENSG00000106066,ENST00000396276,Q9H3G5,Probable serine carboxypeptidase CPVL ,42.03124967,273.2770504,164512.78434080002
CPXCR1,ENSG00000147183,ENST00000276127,Q8N123,CPX chromosomal region candidate gene 1 protein ,0.0,,
CPXM1,ENSG00000088882,ENST00000380605,Q96SM3,Probable carboxypeptidase X1 ,0.0318977,,
CPXM2,ENSG00000121898,ENST00000241305,Q8N436,Inactive carboxypeptidase-like protein X2,0.097202767,,
CPZ,ENSG00000109625,ENST00000315782,Q66K79,Carboxypeptidase Z ,0.0304836,,
CR1,ENSG00000203710,ENST00000400960,P17927,Complement receptor type 1 ,0.050394047,,
CR1L,ENSG00000197721,ENST00000508064,Q2VPA4,Complement component receptor 1-like protein ,0.901372,,
CR2,ENSG00000117322,ENST00000367058,P20023,Complement receptor type 2 ,1.848551667,,
CRABP1,ENSG00000166426,ENST00000299529,P29762,Cellular retinoic acid-binding protein 1 ,0.0,,
CRABP2,ENSG00000143320,ENST00000368222,P29373,Cellular retinoic acid-binding protein 2 ,63.78387334,592.8308168,356884.1517136
CRACD,ENSG00000109265,ENST00000264229,Q6ZU35,Capping protein-inhibiting regulator of actin dynamics ,6.949330958,24.17454739,14553.07752878
CRACDL,ENSG00000196872,ENST00000397899,Q6NV74,CRACD-like protein,0.8917568,,
CRACR2A,ENSG00000130038,ENST00000440314,Q9BSW2,EF-hand calcium-binding domain-containing protein 4B ,9.173437667,20.61903769,12412.66068938
CRACR2B,ENSG00000177685,ENST00000450448,Q8N4Y2,EF-hand calcium-binding domain-containing protein 4A ,6.7822826,,
CRADD,ENSG00000169372,ENST00000332896,P78560,Death domain-containing protein CRADD ,10.54254973,78.7975962,47436.1529124
CRAMP1,ENSG00000007545,ENST00000397412,Q96RY5,Protein cramped-like ,20.61192467,8.135683672,4897.681570544
CRAT,ENSG00000095321,ENST00000318080,P43155,Carnitine O-acetyltransferase ,12.18792992,48.00726196,28900.37169992
CRB1,ENSG00000134376,ENST00000538660,P82279,Protein crumbs homolog 1,0.159575012,,
CRB2,ENSG00000148204,ENST00000373631,Q5IJ48,Protein crumbs homolog 2 ,0.04753125,,
CRB3,ENSG00000130545,ENST00000600229,Q9BUF7,Protein crumbs homolog 3,0.835969433,,
CRBN,ENSG00000113851,ENST00000231948,Q96SW2,Protein cereblon,30.17298193,104.0747982,62653.0285164
CRCP,ENSG00000241258,ENST00000395326,O75575,DNA-directed RNA polymerase III subunit RPC9 ,27.39696433,270.7831462,163011.45401239998
CRCT1,ENSG00000169509,ENST00000368790,Q9UGL9,Cysteine-rich C-terminal protein 1 ,0.0,,
CREB1,ENSG00000118260,ENST00000432329,P16220,Cyclic AMP-responsive element-binding protein 1 ,29.53458296,570.9895722,343735.7224644
CREB3,ENSG00000107175,ENST00000353704,O43889,Cyclic AMP-responsive element-binding protein 3 ,31.27126667,,
CREB3L1,ENSG00000157613,ENST00000621158,Q96BA8,Cyclic AMP-responsive element-binding protein 3-like protein 1 ,1.580319667,,
CREB3L2,ENSG00000182158,ENST00000330387,Q70SY1,Cyclic AMP-responsive element-binding protein 3-like protein 2 ,30.20431833,7.011237534,4220.764995468
CREB3L3,ENSG00000060566,ENST00000078445,Q68CJ9,Cyclic AMP-responsive element-binding protein 3-like protein 3 ,0.0231648,,
CREB3L4,ENSG00000143578,ENST00000368607,Q8TEY5,Cyclic AMP-responsive element-binding protein 3-like protein 4 ,8.935013538,0.784295743,472.146037286
CREB5,ENSG00000146592,ENST00000357727,Q02930,Cyclic AMP-responsive element-binding protein 5 ,21.39932915,24.86259839,14967.284230779998
CREBBP,ENSG00000005339,ENST00000382070,Q92793,CREB-binding protein ,34.70301163,97.64962886,58785.076573720005
CREBL2,ENSG00000111269,ENST00000228865,O60519,cAMP-responsive element-binding protein-like 2,9.71373,,
CREBRF,ENSG00000164463,ENST00000296953,Q8IUR6,CREB3 regulatory factor ,2.902407167,,
CREBZF,ENSG00000137504,ENST00000490820,Q9NS37,CREB/ATF bZIP transcription factor ,52.33118243,5.970851818,3594.4527944359997
CREG1,ENSG00000143162,ENST00000370509,O75629,Protein CREG1 ,51.6718324,149.949055,90269.33111
CREG2,ENSG00000175874,ENST00000324768,Q8IUH2,Protein CREG2 ,1.0835383,,
CRELD1,ENSG00000163703,ENST00000452070,Q96HD1,Protein disulfide isomerase CRELD1 ,17.37045067,16.21895072,9763.80833344
CRELD2,ENSG00000184164,ENST00000328268,Q6UXH1,Protein disulfide isomerase CRELD2 ,57.294834,277.7217193,167188.4750186
CREM,ENSG00000095794,ENST00000374726,Q03060,cAMP-responsive element modulator ,20.82244529,18.92615442,11393.54496084
CRH,ENSG00000147571,ENST00000276571,P06850,Corticoliberin ,0.0,,
CRHBP,ENSG00000145708,ENST00000274368,P24387,Corticotropin-releasing factor-binding protein ,0.077432333,,
CRHR1,ENSG00000120088,ENST00000314537,P34998,Corticotropin-releasing factor receptor 1 ,0.385074326,,
CRHR2,ENSG00000106113,ENST00000348438,Q13324,Corticotropin-releasing factor receptor 2 ,0.080279933,,
CRIM1,ENSG00000150938,ENST00000280527,Q9NZV1,Cysteine-rich motor neuron 1 protein ,11.92039533,1.080997729,650.7606328579999
CRIP1,ENSG00000213145,ENST00000330233,P50238,Cysteine-rich protein 1 ,0.0983079,,
CRIP2,ENSG00000182809,ENST00000329146,P52943,Cysteine-rich protein 2 ,2.244301533,43.9503657,26458.1201514
CRIP3,ENSG00000146215,ENST00000372569,Q6Q6R5,Cysteine-rich protein 3 ,3.429418533,,
CRIPT,ENSG00000119878,ENST00000238892,Q9P021,Cysteine-rich PDZ-binding protein ,12.17790833,321.7970419,193721.8192238
CRISP1,ENSG00000124812,ENST00000329411,P54107,Cysteine-rich secretory protein 1 ,0.0,,
CRISP2,ENSG00000124490,ENST00000339139,P16562,Cysteine-rich secretory protein 2 ,0.0,,
CRISP3,ENSG00000096006,ENST00000263045,P54108,Cysteine-rich secretory protein 3 ,0.0,,
CRISPLD1,ENSG00000121005,ENST00000262207,Q9H336,Cysteine-rich secretory protein LCCL domain-containing 1 ,12.158185,3.990098555,2402.03933011
CRISPLD2,ENSG00000103196,ENST00000262424,Q9H0B8,Cysteine-rich secretory protein LCCL domain-containing 2 ,0.5162782,,
CRK,ENSG00000167193,ENST00000300574,P46108,Adapter molecule crk ,41.92942067,467.7445905,281582.243481
CRKL,ENSG00000099942,ENST00000354336,P46109,Crk-like protein,52.72561167,968.3240117,582931.0550434
CRLF1,ENSG00000006016,ENST00000392386,O75462,Cytokine receptor-like factor 1 ,2.541819579,,
CRLF2,ENSG00000205755,ENST00000381566,Q9HC73,Cytokine receptor-like factor 2 ,0.0472933,,
CRLF3,ENSG00000176390,ENST00000324238,Q8IUI8,Cytokine receptor-like factor 3 ,22.61934367,282.238187,169907.38857399998
CRLS1,ENSG00000088766,ENST00000378868,Q9UJA2,Cardiolipin synthase ,48.88508422,6.65913027,4008.79642254
CRMP1,ENSG00000072832,ENST00000397890,Q14194,Dihydropyrimidinase-related protein 1 ,2.530131333,12.11717388,7294.53867576
CRNKL1,ENSG00000101343,ENST00000536226,Q9BZJ0,Crooked neck-like protein 1 ,23.48127424,174.8094837,105235.3091874
CRNN,ENSG00000143536,ENST00000271835,Q9UBG3,Cornulin ,0.0,,
CROCC,ENSG00000058453,ENST00000375541,Q5TZA2,Rootletin ,35.39971083,66.20328269,39854.37617938
CROCC2,ENSG00000226321,ENST00000443866,H7BZ55,Ciliary rootlet coiled-coil protein 2,0.005399773,,
CROT,ENSG00000005469,ENST00000331536,Q9UKG9,Peroxisomal carnitine O-octanoyltransferase ,11.32872833,27.70264953,16676.99501706
CRP,ENSG00000132693,ENST00000255030,P02741,C-reactive protein [Cleaved into: C-reactive protein(1-205)],0.0,,
CRPPA,ENSG00000214960,ENST00000407010,A4D126,D-ribitol-5-phosphate cytidylyltransferase ,0.806667667,2.635123501,1586.344347602
CRTAC1,ENSG00000095713,ENST00000370597,Q9NQ79,Cartilage acidic protein 1 ,0.48226832,,
CRTAM,ENSG00000109943,ENST00000533709,O95727,Cytotoxic and regulatory T-cell molecule ,0.109736233,,
CRTAP,ENSG00000170275,ENST00000320954,O75718,Cartilage-associated protein,137.2599,170.8442389,102848.2318178
CRTC1,ENSG00000105662,ENST00000321949,Q6UUV9,CREB-regulated transcription coactivator 1 ,13.67661733,123.7796176,74515.3297952
CRTC2,ENSG00000160741,ENST00000368633,Q53ET0,CREB-regulated transcription coactivator 2 ,45.82233267,76.03251739,45771.57546878
CRTC3,ENSG00000140577,ENST00000420329,Q6UUV7,CREB-regulated transcription coactivator 3 ,25.20805967,64.71287374,38957.14999148
CRX,ENSG00000105392,ENST00000221996,O43186,Cone-rod homeobox protein,0.5115334,,
CRY1,ENSG00000008405,ENST00000008527,Q16526,Cryptochrome-1,30.225226,9.09592632,5475.7476446400005
CRY2,ENSG00000121671,ENST00000616080,Q49AN0,Cryptochrome-2,9.969236333,11.76619278,7083.248053560001
CRYAA,ENSG00000160202,ENST00000291554,P02489,Alpha-crystallin A chain ,0.0,,
CRYAA2,ENSG00000276076,ENST00000619537,A0A140G945,Alpha-crystallin A2 chain [Cleaved into: Alpha-crystallin A2(1-172); Alpha-crystallin A2(1-168); Alpha-crystallin A2(1-162)],0.0,,
CRYAB,ENSG00000109846,ENST00000227251,P02511,Alpha-crystallin B chain ,0.050524667,,
CRYBA1,ENSG00000108255,ENST00000225387,P05813,"Beta-crystallin A3 [Cleaved into: Beta-crystallin A3, isoform A1, Delta4 form; Beta-crystallin A3, isoform A1, Delta7 form; Beta-crystallin A3, isoform A1, Delta8 form]",0.0,,
CRYBA2,ENSG00000163499,ENST00000392096,P53672,Beta-crystallin A2 ,0.923084433,,
CRYBA4,ENSG00000196431,ENST00000354760,P53673,Beta-crystallin A4 ,0.032730433,,
CRYBB1,ENSG00000100122,ENST00000215939,P53674,Beta-crystallin B1 ,0.0156032,,
CRYBB2,ENSG00000244752,ENST00000398215,P43320,Beta-crystallin B2 ,0.083574,,
CRYBB3,ENSG00000100053,ENST00000215855,P26998,Beta-crystallin B3 ,1.919863,,
CRYBG1,ENSG00000112297,ENST00000369066,Q9Y4K1,Beta/gamma crystallin domain-containing protein 1 ,0.115194167,,
CRYBG2,ENSG00000176092,ENST00000308182,Q8N1P7,Beta/gamma crystallin domain-containing protein 2 ,4.008956333,,
CRYBG3,ENSG00000080200,ENST00000389622,Q68DQ2,Very large A-kinase anchor protein ,7.984651006,30.74827413,18510.46102626
CRYGA,ENSG00000168582,ENST00000304502,P11844,Gamma-crystallin A ,0.0,,
CRYGB,ENSG00000182187,ENST00000260988,P07316,Gamma-crystallin B ,0.0,,
CRYGC,ENSG00000163254,ENST00000282141,P07315,Gamma-crystallin C ,0.0,,
CRYGD,ENSG00000118231,ENST00000264376,P07320,Gamma-crystallin D ,12.10112667,91.5587473,55118.36587459999
CRYGN,ENSG00000127377,ENST00000337323,Q8WXF5,Gamma-crystallin N ,0.067743633,,
CRYGS,ENSG00000213139,ENST00000307944,P22914,Gamma-crystallin S ,1.871615333,,
CRYL1,ENSG00000165475,ENST00000298248,Q9Y2S2,Lambda-crystallin homolog ,4.973824867,5.789019512,3484.989746224
CRYM,ENSG00000103316,ENST00000543948,Q14894,Ketimine reductase mu-crystallin ,2.6321658,5.025810809,3025.538107018
CRYZ,ENSG00000116791,ENST00000340866,Q08257,Quinone oxidoreductase ,27.677547,889.9075743,535724.3597286
CRYZL1,ENSG00000205758,ENST00000381554,O95825,Quinone oxidoreductase-like protein 1 ,37.30733893,292.6636726,176183.5309052
CS,ENSG00000062485,ENST00000351328,O75390,"Citrate synthase, mitochondrial ",225.967332,3130.920163,1884813.9381259999
CSAD,ENSG00000139631,ENST00000267085,Q9Y600,Cysteine sulfinic acid decarboxylase ,18.45012756,0.18276935,110.0271487
CSAG1,ENSG00000198930,ENST00000452779,Q6PB30,Putative chondrosarcoma-associated gene 1 protein ,3.414736,,
CSAG2,ENSG00000268916,ENST00000638835,Q9Y5P2,Chondrosarcoma-associated gene 2/3 protein ,8.977513333,,
CSDC2,ENSG00000172346,ENST00000306149,Q9Y534,Cold shock domain-containing protein C2 ,0.428803333,,
CSDE1,ENSG00000009307,ENST00000339438,O75534,Cold shock domain-containing protein E1 ,659.6446657,1622.380937,976673.3240739999
CSE1L,ENSG00000124207,ENST00000262982,P55060,Exportin-2 ,200.0487367,2607.399915,1569654.74883
CSF1,ENSG00000184371,ENST00000329608,P09603,Macrophage colony-stimulating factor 1 ,3.859626333,0.884876567,532.695693334
CSF1R,ENSG00000182578,ENST00000286301,P07333,Macrophage colony-stimulating factor 1 receptor ,0.0448845,,
CSF2,ENSG00000164400,ENST00000296871,P04141,Granulocyte-macrophage colony-stimulating factor ,0.024482067,,
CSF2RA,ENSG00000198223,ENST00000381509,P15509,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha ,2.930011967,,
CSF2RB,ENSG00000100368,ENST00000403662,P32927,Cytokine receptor common subunit beta ,0.0,,
CSF3,ENSG00000108342,ENST00000225474,P09919,Granulocyte colony-stimulating factor ,0.018897233,,
CSF3R,ENSG00000119535,ENST00000331941,Q99062,Granulocyte colony-stimulating factor receptor ,0.1669206,,
CSGALNACT1,ENSG00000147408,ENST00000397998,Q8TDX6,Chondroitin sulfate N-acetylgalactosaminyltransferase 1 ,0.51254438,,
CSGALNACT2,ENSG00000169826,ENST00000374466,Q8N6G5,Chondroitin sulfate N-acetylgalactosaminyltransferase 2 ,7.875683333,5.97547614,3597.23663628
CSH1,ENSG00000136488,ENST00000316193,P0DML2,Chorionic somatomammotropin hormone 1 ,0.0,,
CSH2,ENSG00000213218,ENST00000336844,P0DML3,Chorionic somatomammotropin hormone 2 ,0.0,,
CSHL1,ENSG00000204414,ENST00000309894,Q14406,Chorionic somatomammotropin hormone-like 1 ,0.0,,
CSK,ENSG00000103653,ENST00000220003,P41240,Tyrosine-protein kinase CSK ,97.97772333,367.1911034,221049.04424679998
CSKMT,ENSG00000214756,ENST00000532971,A8MUP2,"Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial ",15.258961,0.701645103,422.390352006
CSMD1,ENSG00000183117,ENST00000635120,Q96PZ7,CUB and sushi domain-containing protein 1 ,0.23676004,,
CSMD2,ENSG00000121904,ENST00000241312,Q7Z408,CUB and sushi domain-containing protein 2 ,0.041344167,,
CSMD3,ENSG00000164796,ENST00000343508,Q7Z407,CUB and sushi domain-containing protein 3 ,0.094072123,,
CSN1S1,ENSG00000126545,ENST00000246891,P47710,Alpha-S1-casein [Cleaved into: Casoxin-D],0.0,,
CSN2,ENSG00000135222,ENST00000353151,P05814,Beta-casein,0.0,,
CSN3,ENSG00000171209,ENST00000304954,P07498,Kappa-casein,0.0,,
CSNK1A1,ENSG00000113712,ENST00000377843,P48729,Casein kinase I isoform alpha ,128.4280126,190.6167881,114751.3064362
CSNK1A1L,ENSG00000180138,ENST00000379800,Q8N752,Casein kinase I isoform alpha-like ,0.0,,
CSNK1D,ENSG00000141551,ENST00000314028,P48730,Casein kinase I isoform delta ,180.9957743,265.9808203,160120.4538206
CSNK1E,ENSG00000213923,ENST00000396832,P49674,Casein kinase I isoform epsilon ,417.7403807,85.11311968,51238.09804736
CSNK1G1,ENSG00000169118,ENST00000303052,Q9HCP0,Casein kinase I isoform gamma-1 ,7.308587791,5.093777461,3066.454031522
CSNK1G2,ENSG00000133275,ENST00000255641,P78368,Casein kinase I isoform gamma-2 ,82.60099567,18.07651966,10882.06483532
CSNK1G3,ENSG00000151292,ENST00000345990,Q9Y6M4,Casein kinase I isoform gamma-3 ,27.71786767,74.86757272,45070.27877744
CSNK2A1,ENSG00000101266,ENST00000400217,P68400,Casein kinase II subunit alpha ,120.7446158,,
CSNK2A2,ENSG00000070770,ENST00000262506,P19784,Casein kinase II subunit alpha' ,66.80128833,849.9127035,511647.447507
CSNK2A3,ENSG00000254598,ENST00000528848,Q8NEV1,Casein kinase II subunit alpha 3 ,0.356738333,,
CSNK2B,ENSG00000204435,ENST00000375882,P67870,Casein kinase II subunit beta ,199.1689858,2321.688517,1397656.4872340001
CSNKA2IP,ENSG00000283434,ENST00000637986,A0A1B0GTH6,Casein kinase II subunit alpha'-interacting protein,0.0,,
CSPG4,ENSG00000173546,ENST00000308508,Q6UVK1,Chondroitin sulfate proteoglycan 4 ,0.880551667,3.779677837,2275.366057874
CSPG5,ENSG00000114646,ENST00000456150,O95196,Chondroitin sulfate proteoglycan 5 ,22.28573367,34.01446184,20476.70602768
CSPP1,ENSG00000104218,ENST00000262210,Q1MSJ5,Centrosome and spindle pole-associated protein 1,21.91504167,23.24752772,13995.011687440001
CSRNP1,ENSG00000144655,ENST00000273153,Q96S65,Cysteine/serine-rich nuclear protein 1 ,4.345165667,,
CSRNP2,ENSG00000110925,ENST00000228515,Q9H175,Cysteine/serine-rich nuclear protein 2 ,16.66362367,1.957651413,1178.506150626
CSRNP3,ENSG00000178662,ENST00000314499,Q8WYN3,Cysteine/serine-rich nuclear protein 3 ,2.720053468,,
CSRP1,ENSG00000159176,ENST00000340006,P21291,Cysteine and glycine-rich protein 1 ,0.729544567,,
CSRP2,ENSG00000175183,ENST00000311083,Q16527,Cysteine and glycine-rich protein 2 ,90.381151,519.0641757,312476.63377139997
CSRP3,ENSG00000129170,ENST00000265968,P50461,Cysteine and glycine-rich protein 3 ,0.048257333,,
CST1,ENSG00000170373,ENST00000398402,P01037,Cystatin-SN ,0.031773733,,
CST11,ENSG00000125831,ENST00000377007,Q9H112,Cystatin-11,0.0,,
CST2,ENSG00000170369,ENST00000304725,P09228,Cystatin-SA ,0.0,,
CST3,ENSG00000101439,ENST00000376925,P01034,Cystatin-C ,159.933756,118.6962648,71455.1514096
CST4,ENSG00000101441,ENST00000217423,P01036,Cystatin-S ,0.0,,
CST5,ENSG00000170367,ENST00000304710,P28325,Cystatin-D ,0.0,,
CST6,ENSG00000175315,ENST00000312134,Q15828,Cystatin-M ,0.0,,
CST7,ENSG00000077984,ENST00000480798,O76096,Cystatin-F ,0.0,,
CST8,ENSG00000125815,ENST00000246012,O60676,Cystatin-8 ,0.0,,
CST9,ENSG00000173335,ENST00000376971,Q5W186,Cystatin-9 ,0.0,,
CST9L,ENSG00000101435,ENST00000376979,Q9H4G1,Cystatin-9-like ,0.0,,
CSTA,ENSG00000121552,ENST00000264474,P01040,Cystatin-A ,0.154512067,2.275131987,1369.6294561739999
CSTB,ENSG00000160213,ENST00000291568,P04080,Cystatin-B ,73.3009848,7776.710051,4681579.450702
CSTF1,ENSG00000101138,ENST00000217109,Q05048,Cleavage stimulation factor subunit 1 ,44.62634737,581.2235694,349896.5887788
CSTF2,ENSG00000101811,ENST00000372972,P33240,Cleavage stimulation factor subunit 2 ,65.783735,946.4636873,569771.1397546
CSTF2T,ENSG00000177613,ENST00000331173,Q9H0L4,Cleavage stimulation factor subunit 2 tau variant ,20.7948,106.0437787,63838.3547774
CSTF3,ENSG00000176102,ENST00000323959,Q12996,Cleavage stimulation factor subunit 3 ,65.22533733,358.9923869,216113.4169138
CSTL1,ENSG00000125823,ENST00000246020,Q9H114,Cystatin-like 1 ,1.035819333,,
CT45A1,ENSG00000268940,ENST00000594565,Q5HYN5,Cancer/testis antigen family 45 member A1 ,1.226933333,,
CT45A10,ENSG00000269586,ENST00000611668,P0DMU9,Cancer/testis antigen family 45 member A10 ,12.5647,99.94130588,60164.666139760004
CT45A2,ENSG00000271449,ENST00000605791,Q5DJT8,Cancer/testis antigen family 45 member A2 ,0.0,,
CT45A3,ENSG00000269096,ENST00000597510,Q8NHU0,Cancer/testis antigen family 45 member A3 ,0.0,,
CT45A5,ENSG00000228836,ENST00000487941,P0DMU8,Cancer/testis antigen family 45 member A5 ,1.75044,,
CT45A6,ENSG00000278289,ENST00000612878,P0DMU7,Cancer/testis antigen family 45 member A6 ,0.0,,
CT45A7,ENSG00000273696,ENST00000610598,P0DMV0,Cancer/testis antigen family 45 member A7 ,0.0,,
CT45A8,ENSG00000278085,ENST00000611438,P0DMV1,Cancer/testis antigen family 45 member A8 ,0.022526733,,
CT45A9,ENSG00000270946,ENST00000604569,P0DMV2,Cancer/testis antigen family 45 member A9 ,0.022526733,,
CT476828.9,ENSG00000283949,ENST00000637517,,,3.84e-05,,
CT47A1,ENSG00000226685,ENST00000419982,Q5JQC4,Cancer/testis antigen 47A ,0.043621167,,
CT47B1,ENSG00000236446,ENST00000371311,P0C2W7,Cancer/testis antigen 47B ,0.0,,
CT55,ENSG00000169551,ENST00000344129,Q8WUE5,Cancer/testis antigen 55 ,0.430281605,,
CT62,ENSG00000225362,ENST00000449977,P0C5K7,Cancer/testis antigen 62 ,0.008605833,,
CT83,ENSG00000204019,ENST00000371894,Q5H943,Kita-kyushu lung cancer antigen 1 ,0.0,,
