ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	Complex comment	Disease comment	Subunits comment	SWISSPROT organism	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)
1201	TRF1-TIN2 complex	Human	None	None	P54274;Q96AP0;Q9BSI4;Q9NUX5	7013;65057;26277;25913	MI:0007-anti tag coimmunoprecipitation	GO:0003677;GO:0051276;GO:0005634	DNA binding;chromosome organization;nucleus	16.03.01;42.10.03;70.10	DNA binding;organization of chromosome structure;nucleus	15231715	This complex regulates telomere length.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Telomeric repeat-binding factor 1;Adrenocortical dysplasia protein homolog;TERF1-interacting nuclear factor 2;Protection of telomeres protein 1	TERF1;ACD;TINF2;POT1	PIN2 TRBF1 TRF TRF1;PIP1 PTOP TINT1 TPP1;TIN2;None
1202	TRF1 telomere length regulation complex	Human	None	None	O95271;P54274;Q9BSI4	8658;7013;26277	MI:0006-anti bait coimmunoprecipitation	GO:0051276;GO:0005634	chromosome organization;nucleus	42.10.03;70.10	organization of chromosome structure;nucleus	15133513	Inhibition of TRF1 by tankyrase 1 is controlled by TIN2.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Poly [ADP-ribose] polymerase tankyrase-1;Telomeric repeat-binding factor 1;TERF1-interacting nuclear factor 2	TNKS;TERF1;TINF2	PARP5A PARPL TIN1 TINF1 TNKS1;PIN2 TRBF1 TRF TRF1;TIN2
1204	Rap1 complex	Human	None	None	P54274;Q15554;Q92878;Q96AP0;Q9BSI4;Q9NUX5;Q9NYB0	7013;7014;10111;65057;26277;25913;54386	MI:0007-anti tag coimmunoprecipitation	GO:0003677;GO:0051276;GO:0005634	DNA binding;chromosome organization;nucleus	16.03.01;42.10.03;70.10	DNA binding;organization of chromosome structure;nucleus	15316005	TIN2 was found to bind TRF1 and TRF2 simultaneously, showing that TIN2 can link these telomeric proteins. This connection appeared to stabilize TRF2 on the telomeres as the treatment of cells with TIN2 small interfering RNA resulted in a decreased presence of TRF2 and hRap1 at chromosome ends. Only 5-10% of the endogenous TRF1 could be recovered in association with the hRap1 complex.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Telomeric repeat-binding factor 1;Telomeric repeat-binding factor 2;DNA repair protein RAD50;Adrenocortical dysplasia protein homolog;TERF1-interacting nuclear factor 2;Protection of telomeres protein 1;Telomeric repeat-binding factor 2-interacting protein 1	TERF1;TERF2;RAD50;ACD;TINF2;POT1;TERF2IP	PIN2 TRBF1 TRF TRF1;TRBF2, TRF2;None;PIP1 PTOP TINT1 TPP1;TIN2;None;DRIP5, RAP1
1205	TRF2-Rap1 complex III	Human	None	None	Q15554;Q9NYB0	7014;54386	MI:0071-molecular sieving	GO:0003677;GO:0051276;GO:0005634	DNA binding;chromosome organization;nucleus	16.03.01;42.10.03;70.10	DNA binding;organization of chromosome structure;nucleus	15316005	The TRF2 complex is primarily involved in telomere protection and contains the TRF2 interacting partner human (h)Rap1 as well as several factors involved in the DNA damage response.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Telomeric repeat-binding factor 2;Telomeric repeat-binding factor 2-interacting protein 1	TERF2;TERF2IP	TRBF2, TRF2;DRIP5, RAP1
1206	TRF-Rap1 complex I, 2MD	Human	None	None	O95271;P54274;Q15554;Q9BSI4;Q9NUX5;Q9NYB0	8658;7013;7014;26277;25913;54386	MI:0071-molecular sieving	GO:0003677;GO:0051276;GO:0005634	DNA binding;chromosome organization;nucleus	16.03.01;42.10.03;70.10	DNA binding;organization of chromosome structure;nucleus	15316005	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Poly [ADP-ribose] polymerase tankyrase-1;Telomeric repeat-binding factor 1;Telomeric repeat-binding factor 2;TERF1-interacting nuclear factor 2;Protection of telomeres protein 1;Telomeric repeat-binding factor 2-interacting protein 1	TNKS;TERF1;TERF2;TINF2;POT1;TERF2IP	PARP5A PARPL TIN1 TINF1 TNKS1;PIN2 TRBF1 TRF TRF1;TRBF2, TRF2;TIN2;None;DRIP5, RAP1
1207	TRF2-Rap1 complex II	Human	None	None	Q15554;Q9BSI4;Q9NUX5;Q9NYB0	7014;26277;25913;54386	MI:0071-molecular sieving	GO:0003677;GO:0051276;GO:0005634	DNA binding;chromosome organization;nucleus	16.03.01;42.10.03;70.10	DNA binding;organization of chromosome structure;nucleus	15316005	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Telomeric repeat-binding factor 2;TERF1-interacting nuclear factor 2;Protection of telomeres protein 1;Telomeric repeat-binding factor 2-interacting protein 1	TERF2;TINF2;POT1;TERF2IP	TRBF2, TRF2;TIN2;None;DRIP5, RAP1
1211	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	Human	CUL4AhR complex	MCF-7 cells	P27540;P35869;P62877;Q12788;Q13620;Q16531	405;196;9978;10607;8450;1642	MI:0007-anti tag coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0023052;GO:0005634	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling;nucleus	14.07.05;14.13.01.01;30.01;70.10	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cellular signalling;nucleus	17392787	AHR has dual functions. Besides being a transcription factor as subunit of the AHR-ARNT complex (CORUM-ID:8842), it also possesses an intrinsic E3 ubiquitin ligase function that targets, e.g., the steroid receptors for proteasomal degradation ( PMID: 30718831). . In the CUL4B(AhR) ubiquitin E3 ligase complex, ligand-activated dioxin receptor AHR acts as a substrate-specific adaptor component that targets sex steroid receptors for degradation. Thus, experiments uncover a function for AhR as an atypical component of the ubiquitin ligase complex and demonstrate a non-genomic signalling pathway in which fat-soluble ligands regulate target-protein-selective degradation through a ubiquitin ligase complex.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Aryl hydrocarbon receptor nuclear translocator;Aryl hydrocarbon receptor;E3 ubiquitin-protein ligase RBX1;Transducin beta-like protein 3;Cullin-4B;DNA damage-binding protein 1	ARNT;AHR;RBX1;TBL3;CUL4B;DDB1	BHLHE2;BHLHE76;RNF75 ROC1;SAZD;KIAA0695;XAP1
1214	Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1)	Human	DCXhDET1-hCOP1 complex	None	P62877;Q13619;Q16531;Q7L5Y6;Q8NHY2	9978;8451;1642;55070;64326	MI:0007-anti tag coimmunoprecipitation;MI:0069-mass spectrometry studies of complexes	GO:0016567;GO:0043161;GO:0006511;GO:0023052;GO:0005634	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling;nucleus	14.07.05;14.13.01.01;30.01;70.10	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cellular signalling;nucleus	14739464	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Human DET1 (hDET1) promotes ubiquitination and degradation of the proto-oncogenic transcription factor c-Jun by assembling a multisubunit ubiquitin E3 ligase. Ablation of any subunit by RNA interference stabilized c-Jun and increased c-Jun-activated transcription.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	E3 ubiquitin-protein ligase RBX1;Cullin-4A;DNA damage-binding protein 1;DET1 homolog;E3 ubiquitin-protein ligase COP1	RBX1;CUL4A;DDB1;DET1;COP1	RNF75 ROC1;None;XAP1;None;RFWD2 RNF200
1215	Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1)	Human	None	None	P62877;P63208;Q13616;Q969H0	9978;6500;8454;55294	MI:0019-coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0007219;GO:0023052	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;Notch signaling pathway;signaling	14.07.05;14.13.01.01;30.05.02.14;30.01	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);Notch-receptor signalling pathway;cellular signalling	11585921	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. FBXW7 is an inhibitor of notch signaling that targets notch for ubiquitin-mediated protein degradation.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	E3 ubiquitin-protein ligase RBX1;S-phase kinase-associated protein 1;Cullin-1;F-box/WD repeat-containing protein 7	RBX1;SKP1;CUL1;FBXW7	RNF75 ROC1;EMC19 OCP2 SKP1A TCEB1L;None;FBW7 FBX30 SEL10
1217	WRN-TRF2 complex	Human	None	HeLa cells	Q14191;Q15554	7486;7014	MI:0006-anti bait coimmunoprecipitation;MI:0096-pull down	GO:0004386;GO:0032204;GO:0005634;GO:0090398	helicase activity;regulation of telomere maintenance;nucleus;cellular senescence	70.10	nucleus	12181313	TRF2 interaction with WRN results in a stimulation of WRN-helicase activity.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN;Telomeric repeat-binding factor 2	WRN;TERF2	RECQ3 RECQL2;TRBF2, TRF2
1218	BLM-TRF2 complex	Human	None	HTC75 cells	P54132;Q15554	641;7014	MI:0006-anti bait coimmunoprecipitation;MI:0096-pull down	GO:0090398;GO:0032204;GO:0005634	cellular senescence;regulation of telomere maintenance;nucleus	70.10	nucleus	12768206	None	BLM is involved in Bloom syndrome (BS) (PMID:12444098).	None	Homo sapiens (Human);Homo sapiens (Human)	RecQ-like DNA helicase BLM;Telomeric repeat-binding factor 2	BLM;TERF2	RECQ2 RECQL3;TRBF2, TRF2
1219	Tankyrin 1-tankyrin 2-TRF1 complex	Human	None	None	O95271;P54274;Q9H2K2	8658;7013;80351	MI:0004-affinity chromatography technology	GO:0051276;GO:0005634	chromosome organization;nucleus	42.10.03;70.10	organization of chromosome structure;nucleus	12080061	TRF1 binding allows tankyrase to regulate telomere dynamics. Mouse TRF1 lacks the binding motif for tankyrase.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Poly [ADP-ribose] polymerase tankyrase-1;Telomeric repeat-binding factor 1;Poly [ADP-ribose] polymerase tankyrase-2	TNKS;TERF1;TNKS2	PARP5A PARPL TIN1 TINF1 TNKS1;PIN2 TRBF1 TRF TRF1;PARP5B TANK2 TNKL
1220	TRF2-Ku complex	Human	None	None	P12956;P13010;Q15554	2547;7520;7014	MI:0018-two hybrid;MI:0019-coimmunoprecipitation	GO:0003677;GO:0051276;GO:0005634	DNA binding;chromosome organization;nucleus	16.03.01;42.10.03;70.10	DNA binding;organization of chromosome structure;nucleus	10984620	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	X-ray repair cross-complementing protein 6;X-ray repair cross-complementing protein 5;Telomeric repeat-binding factor 2	XRCC6;XRCC5;TERF2	G22P1;G22P2;TRBF2, TRF2
1221	TFIIA-TRF2 complex	Human	None	None	P52655;P52657;Q15554	2957;2958;7014	MI:0007-anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0005634	regulation of RNA biosynthetic process;regulation of DNA-templated transcription;nucleus	11.02.03.04;70.10	transcriptional control;nucleus	10570139	TRF2-TFIIA complex is able to replace TBP or TFIID in basal or activated transcription from various RNA polymerase II promoters.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Transcription initiation factor IIA subunit 1;Transcription initiation factor IIA subunit 2;Telomeric repeat-binding factor 2	GTF2A1;GTF2A2;TERF2	TF2A1;TF2A2;TRBF2, TRF2
1223	H2AX complex, isolated from cells without IR exposure	Human	None	None	O43390;P05455;P06748;P0DP23;P11021;P11940;P16104;P27797;P62805;Q08945;Q8N257;Q9Y262;Q9Y5B9	10236;6741;4869;801;3309;26986;3014;811;None;6749;128312;51386;11198	MI:0004-affinity chromatography technology;MI:0069-mass spectrometry studies of complexes	GO:0006265;GO:0000075;GO:0006354;GO:0051276;GO:0005634	DNA topological change;cell cycle checkpoint signaling;DNA-templated transcription elongation;chromosome organization;nucleus	10.01.09.05;10.03.01.03;11.02.03.01.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);transcription elongation;organization of chromosome structure;nucleus	16522924	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Heterogeneous nuclear ribonucleoprotein R;Lupus La protein;Nucleophosmin;Calmodulin-1;Endoplasmic reticulum chaperone BiP;Polyadenylate-binding protein 1;Histone H2AX;Calreticulin;Histone H4;FACT complex subunit SSRP1;Histone H2B type 3-B;Eukaryotic translation initiation factor 3 subunit L;FACT complex subunit SPT16	HNRNPR;SSB;NPM1;CALM1;HSPA5;PABPC1;H2AX;CALR;H4C1;SSRP1;H2BC26;EIF3L;SUPT16H	HNRPR;None;NPM;CALM CAM CAM1;GRP78;PAB1 PABP PABP1 PABPC2;H2AFX;CRTC;H4/A H4FA HIST1H4A;FACT80;H2BU1 HIST3H2BB;EIF3EIP EIF3S6IP;FACT140 FACTP140
1224	Ubiquitin E3 ligase (BMI1, SPOP, CUL3)	Human	None	None	O43791;P35226;Q13618	8405;648;8452	MI:0019-coimmunoprecipitation	GO:0009048;GO:0016567;GO:0005634;GO:0006511	dosage compensation by inactivation of X chromosome;protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process	10.03.04.06;14.07.05;70.10;14.13.01.01	chromosome inactivation;modification by ubiquitination, deubiquitination;nucleus;proteasomal degradation (ubiquitin/proteasomal pathway)	15897469	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. X inactivation involves the stable silencing of one of the two X chromosomes in XX female mammals. Initiation of this process occurs during early development and involves Xist (X-inactive-specific transcript) RNA coating and the recruitment of Polycomb repressive complex (PRC) 2 and PRC1 proteins. This recruitment results in an inactive state that is initially labile but is further locked in by epigenetic marks such as DNA methylation, histone hypoacetylation, and MACROH2A deposition. The ubiquitin E3 ligase consisting of SPOP and CULLIN3 is able to ubiquitinate the Polycomb group protein BMI1 and the variant histone H2AFY.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Speckle-type POZ protein;Polycomb complex protein BMI-1;Cullin-3	SPOP;BMI1;CUL3	None;PCGF4 RNF51;KIAA0617
1225	Ubiquitin E3 ligase (H2AFY, SPOP, CUL3)	Human	None	None	O43791;O75367;Q13618	8405;9555;8452	MI:0019-coimmunoprecipitation	GO:0009048;GO:0016567;GO:0005634;GO:0006511	dosage compensation by inactivation of X chromosome;protein ubiquitination;nucleus;ubiquitin-dependent protein catabolic process	10.03.04.06;14.07.05;70.10;14.13.01.01	chromosome inactivation;modification by ubiquitination, deubiquitination;nucleus;proteasomal degradation (ubiquitin/proteasomal pathway)	15897469	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. X inactivation involves the stable silencing of one of the two X chromosomes in XX female mammals. Initiation of this process occurs during early development and involves Xist (X-inactive-specific transcript) RNA coating and the recruitment of Polycomb repressive complex (PRC) 2 and PRC1 proteins. This recruitment results in an inactive state that is initially labile but is further locked in by epigenetic marks such as DNA methylation, histone hypoacetylation, and MACROH2A deposition. The ubiquitin E3 ligase consisting of SPOP and CULLIN3 is able to ubiquitinate the Polycomb group protein BMI1 and the variant histone H2AFY.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Speckle-type POZ protein;Core histone macro-H2A.1;Cullin-3	SPOP;MACROH2A1;CUL3	None;H2AFY;KIAA0617
1226	H2AX complex I	Human	None	None	P06748;P09874;P11021;P16104;P27797;Q7L2E3;Q8N257	4869;142;3309;3014;811;22907;128312	MI:0004-affinity chromatography technology;MI:0069-mass spectrometry studies of complexes	GO:0006281;GO:0006265;GO:0000075;GO:0006354;GO:0006974;GO:0051276;GO:0005634	DNA repair;DNA topological change;cell cycle checkpoint signaling;DNA-templated transcription elongation;cellular response to DNA damage stimulus;chromosome organization;nucleus	10.01.05.01;10.01.09.05;10.03.01.03;11.02.03.01.04;32.01.09;42.10.03;70.10	DNA repair;DNA conformation modification (e.g. chromatin);cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);transcription elongation;DNA damage response;organization of chromosome structure;nucleus	16522924	This complex has been isolated from cells after IR exposure and recovery for 30 minutes.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Nucleophosmin;Poly [ADP-ribose] polymerase 1;Endoplasmic reticulum chaperone BiP;Histone H2AX;Calreticulin;ATP-dependent RNA helicase DHX30;Histone H2B type 3-B	NPM1;PARP1;HSPA5;H2AX;CALR;DHX30;H2BC26	NPM;ADPRT PPOL;GRP78;H2AFX;CRTC;DDX30 KIAA0890;H2BU1 HIST3H2BB
1227	H2AX complex II	Human	None	None	P06748;P11021;P16104;P16989;P27797;P33778;P62805;Q8N257;Q96EY7;Q99879	4869;3309;3014;8531;811;3018;None;128312;55037;8342	MI:0004-affinity chromatography technology;MI:0069-mass spectrometry studies of complexes	GO:0006281;GO:0006265;GO:0000075;GO:0006354;GO:0006974;GO:0051276;GO:0005634	DNA repair;DNA topological change;cell cycle checkpoint signaling;DNA-templated transcription elongation;cellular response to DNA damage stimulus;chromosome organization;nucleus	10.01.05.01;10.01.09.05;10.03.01.03;11.02.03.01.04;32.01.09;42.10.03;70.10	DNA repair;DNA conformation modification (e.g. chromatin);cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);transcription elongation;DNA damage response;organization of chromosome structure;nucleus	16522924	This complex has been isolated from cells after IR exposure and recovery for 2.5h.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Nucleophosmin;Endoplasmic reticulum chaperone BiP;Histone H2AX;Y-box-binding protein 3;Calreticulin;Histone H2B type 1-B;Histone H4;Histone H2B type 3-B;Pentatricopeptide repeat domain-containing protein 3, mitochondrial;Histone H2B type 1-M	NPM1;HSPA5;H2AX;YBX3;CALR;H2BC3;H4C1;H2BC26;PTCD3;H2BC14	NPM;GRP78;H2AFX;CSDA DBPA;CRTC;H2BFF HIST1H2BB;H4/A H4FA HIST1H4A;H2BU1 HIST3H2BB;MRPS39;H2BFE HIST1H2BM
1230	WINAC complex	Human	WSTF containing complex	None	O14497;O96019;P11473;P51531;P51532;Q02880;Q12824;Q13111;Q8TAQ2;Q92922;Q969G3;Q96GM5;Q9UIG0;Q9Y5B9	8289;86;7421;6595;6597;7155;6598;10036;6601;6599;6605;6602;9031;11198	MI:0004-affinity chromatography technology;MI:0006-anti bait coimmunoprecipitation;MI:0029-cosedimentation through density gradient	GO:0006260;GO:0006265;GO:0000084;GO:2001141;GO:0006355;GO:0051276;GO:0005634;GO:0005102	DNA replication;DNA topological change;mitotic S phase;regulation of RNA biosynthetic process;regulation of DNA-templated transcription;chromosome organization;nucleus;signaling receptor binding	10.01.03;10.01.09.05;10.03.01.01.05;11.02.03.04;42.10.03;70.10;16.01.01	DNA synthesis and replication;DNA conformation modification (e.g. chromatin);S phase of mitotic cell cycle;transcriptional control;organization of chromosome structure;nucleus;receptor binding	12837248	WINAC mediates the recruitment of unliganded VDR to VDR target sites in promoters, while subsequent binding of coregulators requires ligand binding.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	AT-rich interactive domain-containing protein 1A;Actin-like protein 6A;Vitamin D3 receptor;Probable global transcription activator SNF2L2;Transcription activator BRG1;DNA topoisomerase 2-beta;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;Chromatin assembly factor 1 subunit A;SWI/SNF complex subunit SMARCC2;SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1;Tyrosine-protein kinase BAZ1B;FACT complex subunit SPT16	ARID1A;ACTL6A;VDR;SMARCA2;SMARCA4;TOP2B;SMARCB1;CHAF1A;SMARCC2;SMARCC1;SMARCE1;SMARCD1;BAZ1B;SUPT16H	BAF250 BAF250A C1orf4 OSA1 SMARCF1;BAF53 BAF53A INO80K;NR1I1;BAF190B BRM SNF2A SNF2L2;BAF190A BRG1 SNF2B SNF2L4;None;BAF47, INI1, SNF5L1;CAF CAF1P150;BAF170;BAF155;BAF57;BAF60A;WBSC10 WBSCR10 WBSCR9 WSTF;FACT140 FACTP140
1231	FIB-associated protein complex	Human	None	kidney	O14744;P22087;Q07021;Q71U36;Q99873;Q9H4B7	10419;2091;708;7846;3276;81027	MI:0007-anti tag coimmunoprecipitation	GO:0006364;GO:0000154;GO:0042254;GO:0005634	rRNA processing;rRNA modification;ribosome biogenesis;nucleus	11.04.01;11.06.01;12.01;70.10	rRNA processing;rRNA modification;ribosome biogenesis;nucleus	14583623	FIB-associated protein complexes contain a number of ribosomal proteins and potential trans-acting factors involved in ribosome biogenesis, and the complexes are dependent on RNA integrity.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Protein arginine N-methyltransferase 5;rRNA 2'-O-methyltransferase fibrillarin;Complement component 1 Q subcomponent-binding protein, mitochondrial;Tubulin alpha-1A chain;Protein arginine N-methyltransferase 1;Tubulin beta-1 chain	PRMT5;FBL;C1QBP;TUBA1A;PRMT1;TUBB1	HRMT1L5 IBP72 JBP1 SKB1;FIB1 FLRN;GC1QBP HABP1 SF2P32;TUBA3;HMT2 HRMT1L2 IR1B4;None
1232	REST-CoREST-mSIN3A complex	Human	None	HEK-293 cells,	Q13127;Q96ST3;Q9UKL0	5978;25942;23186	MI:0007-anti tag coimmunoprecipitation	GO:0045892;GO:0022008;GO:0048699;GO:0030182;GO:0007399;GO:0005634	negative regulation of DNA-templated transcription;neurogenesis;generation of neurons;neuron differentiation;nervous system development;nucleus	11.02.03.04.03;41.05.13;43.03.13;47.03.01;70.10	transcription repression;neurogenesis;neuron;nervous system;nucleus	10734093	The REST-mSin3A association involves the NH(2)-terminal repressor domain of REST and the paired amphipathic helix 2 domain of mSin3A. REST forms complexes with endogenous mSin3A in mammalian cells, and both mSin3A and CoREST interact with REST in intact mammalian cells.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RE1-silencing transcription factor;Paired amphipathic helix protein Sin3a;REST corepressor 1	REST;SIN3A;RCOR1	NRSF XBR;None;KIAA0071 RCOR
1233	CoREST-HDAC2 complex	Human	None	non-neuronal COS 1 cells, neuronal PC12 cells	Q92769;Q9UKL0	3066;23186	MI:0019-coimmunoprecipitation	GO:0006265;GO:0045892;GO:0006476;GO:0051276;GO:0005634	DNA topological change;negative regulation of DNA-templated transcription;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus	11516394	In the presence of REST, the CoREST/HDAC2 complex represses transcription of the Nav1.2 sodium channel gene.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Histone deacetylase 2;REST corepressor 1	HDAC2;RCOR1	None;KIAA0071 RCOR
1237	BAF complex	Human	SWI/SNF complex A	None	O14497;O96019;P51531;P51532;Q12824;Q8TAQ2;Q92922;Q969G3;Q96GM5	8289;86;6595;6597;6598;6601;6599;6605;6602	MI:0004-affinity chromatography technology;MI:0006-anti bait coimmunoprecipitation	GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005634	DNA topological change;positive regulation of DNA-templated transcription;DNA binding;chromosome organization;nucleus	10.01.09.05;11.02.03.04.01;16.03.01;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription activation;DNA binding;organization of chromosome structure;nucleus	11073988	BAF250 confers specificity to the human BAF complex and may recruit the complex to its targets through either protein-DNA or protein-protein interactions.	None	Another subunit of the complex was found in the analysis, which has not been further characterized: BAF110.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	AT-rich interactive domain-containing protein 1A;Actin-like protein 6A;Probable global transcription activator SNF2L2;Transcription activator BRG1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;SWI/SNF complex subunit SMARCC2;SWI/SNF complex subunit SMARCC1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	ARID1A;ACTL6A;SMARCA2;SMARCA4;SMARCB1;SMARCC2;SMARCC1;SMARCE1;SMARCD1	BAF250 BAF250A C1orf4 OSA1 SMARCF1;BAF53 BAF53A INO80K;BAF190B BRM SNF2A SNF2L2;BAF190A BRG1 SNF2B SNF2L4;BAF47, INI1, SNF5L1;BAF170;BAF155;BAF57;BAF60A
