gene_name_canonical,compartment,source,Note
MB,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MCMBP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MDM4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
METTL1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
METTL21A,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
METTL25,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
METTL25B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MGLL,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MINDY3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MKNK2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MOB2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MOCS3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MT1X,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MTHFR,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MTMR14,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MTR,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
MYO9A,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
N4BP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
N6AMT1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NAA80,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NADSYN1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NANP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NAP1L1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NASP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NAT9,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NDOR1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NEDD4L,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NEK3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NFKBIA,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NKIRAS1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NMRK1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NRBP2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NRGN,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NT5C3B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NTAN1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NTAQ1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
NUDT15,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ODC1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
OPLAH,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
OPTN,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
OTUD5,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PABIR1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PABIR2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PAGE1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PAK1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PANK1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PANK3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PARP10,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PASK,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PCMTD1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PCTP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PDE1A,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PDE4A,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PFKFB4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PFN2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PGBD1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PGGT1B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PGM2L1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PHKA2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PHYHD1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PJA2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PKM,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PLCB2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PLCG1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PLEKHG2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PLEKHO2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
POLR2M,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
POLR3G,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
POMP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PPCDC,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PPIP5K1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PPM1B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PPP2R2D,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PPP2R3A,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PPP2R3B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PREX1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PRKAB2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PRKCE,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PRKCZ,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PRMT1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PRPF39,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PRTFDC1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PTAR1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PTER,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PTGR2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PTK2B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
PUS3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RAB28,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RABGGTA,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RABL2B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RABL6,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RAP1GDS1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RAPGEF2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RASSF5,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RBKS,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RCCD1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RCHY1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RIC1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RIMKLB,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RNF115,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RNF123,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RNF135,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RNF141,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RNF146,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RNF187,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RNF34,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RPAP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RPGR,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RPP21,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RPUSD1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RTL10,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
RWDD2A,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
S100A1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
S100A3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SAAL1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SAT2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SCLY,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SCRN3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SDSL,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SEC14L2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SEC14L4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SERGEF,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SERPINB8,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SESN2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SESN3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SESTD1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SETD6,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SH2B1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SHPK,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SHROOM1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SIAH2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SIK3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SIVA1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SLC49A3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SLC7A6OS,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SMYD4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SPATA18,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SPHK1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SPIRE2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SRR,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SSH3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
STARD4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
STARD5,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
STK17A,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
STK17B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
STYX,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
SULT1A1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TAGLN,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TBC1D13,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TBC1D17,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TBC1D7,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TBCEL,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TBPL1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TCP11L1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TECPR1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TFEB,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TGM2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
THADA,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
THUMPD2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TICAM1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TIFA,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TLE4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TOM1L2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TP53I3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TPGS2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TPK1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TPM1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TPM4,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TRAF3IP2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TRIM37,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TRIM38,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TRMT12,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TSC1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TSC22D2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TSC22D3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TTL,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TUBAL3,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
TYW5,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UAP1L1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UBALD2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UBAP1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UBE2B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UBE2F,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UBE3D,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UBR7,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UBXN2B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UCK1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UEVLD,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UROS,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
USP25,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
USP34,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
USP37,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
USP38,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
USP40,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
UVSSA,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
VCPKMT,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
VHL,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
WDCP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
WDR47,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
WDR54,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
WDR73,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
WDSUB1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
WDTC1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
WSB1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
WWC1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
XIAP,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
XRCC2,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
XYLB,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
YAE1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
YOD1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ZBTB8OS,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ZER1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ZFTRAF1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ZMIZ1,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ZNF503,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ZNF507,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ZNF595,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ZNF672,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ZNF703,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ZNG1B,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
ZWILCH,cytosol,100% cytosolic in Itzhak et al 2016 PMID: 27278775,
CHMP4B,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
DNAJC13,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
EEA1,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
MYOF,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SCAMP1,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SCAMP2,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SCAMP3,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SNX2,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SNX27,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
SNX6,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
STAM2,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
STX7,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
TBC1D5,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
VPS26A,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
VPS35,early_endosome,Gosney et al 2018 PMID: 29523688,proteomics
ABHD12,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ABHD6,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ACSL3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ADAM10,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ADPGK,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
AGPAT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
AGPAT2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
AGPAT3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
AGR2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ALDH3A2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ALG1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ALG5,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ALG6,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ALG8,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ALG9,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
AMFR,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ANKLE2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ANO10,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
APMAP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
APOL2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ARL6IP5,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ASPH,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ATP13A1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ATP2A2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ATP6AP2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
AUP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
BCAP29,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
BCAP31,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
BLTP2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
BNIP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
BRI3BP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
BTD,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
C4orf3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CALR,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CALU,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CANX,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CCDC134,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CCDC47,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CDIPT,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CDK5RAP3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CDKAL1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CEPT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CERS2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CERS5,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CHP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CISD2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CLCC1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CLPTM1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CLPTM1L,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CNPY2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CNPY4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
COL4A2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
COLGALT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
COMT,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CPA4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CRELD1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CRELD2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CRLF1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
CRTAP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CYB561D2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CYP20A1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CYP2S1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
CYP51A1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DAD1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DDOST,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DDRGK1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DEGS1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DERL1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DHCR24,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DHCR7,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DHRS13,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DHRS3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DHRS7,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DHRS7B,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DHRSX,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DNAJB11,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DNAJB12,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DNAJB14,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DNAJC1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DNAJC10,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DNAJC3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DPAGT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
DPM1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
DPM3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
EBP,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ECEL1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
EIF2AK3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ELOVL1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ELOVL5,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
EMC1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
EMC2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
EMC7,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
EMD,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
EOGT,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
EPHX1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ERAP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ERLIN1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ERLIN2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ERMP1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
ERO1A,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
ERP29,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
FADS1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FADS3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FBLN1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
FDFT1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FKBP10,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FKBP14,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
FKBP2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FKBP9,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FNDC3A,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
FNDC3B,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
FSTL3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
G6PC3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
GANAB,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GDE1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GGCX,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GHDC,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GPAA1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GPAT4,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
GPX8,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
GRAMD2B,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
HACD2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
HACD3,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
HM13,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
HMOX1,ER,Itzhak et al 2016 PMID: 27278775,confidence score: high
HMOX2,ER,Itzhak et al 2016 PMID: 27278775,confidence score: very high
